2023-09-02 15:32:54 status unpacked init-system-helpers:all 1.65.2
2023-09-02 15:32:54 install e2fsprogs:amd64 <none> 1.47.0-2
2023-09-02 15:32:54 status half-installed e2fsprogs:amd64 1.47.0-2
2023-09-02 15:32:54 status unpacked e2fsprogs:amd64 1.47.0-2
2023-09-02 15:32:54 install findutils:amd64 <none> 4.9.0-4
2023-09-02 15:32:54 status half-installed findutils:amd64 4.9.0-4
2023-09-02 15:32:54 status unpacked findutils:amd64 4.9.0-4
2023-09-02 15:32:54 install grep:amd64 <none> 3.8-5
2023-09-02 15:32:54 status half-installed grep:amd64 3.8-5
2023-09-02 15:32:54 status unpacked grep:amd64 3.8-5
2023-09-02 15:32:54 install gzip:amd64 <none> 1.12-1
2023-09-02 15:32:54 status half-installed gzip:amd64 1.12-1
2023-09-02 15:32:55 status unpacked gzip:amd64 1.12-1
2023-09-02 15:32:55 install hostname:amd64 <none> 3.23+nmu1
2023-09-02 15:32:55 status half-installed hostname:amd64 3.23+nmu1
2023-09-02 15:32:55 status unpacked hostname:amd64 3.23+nmu1
2023-09-02 15:32:55 install libc-bin:amd64 <none> 2.36-9+deb12u1
2023-09-02 15:32:55 status half-installed libc-bin:amd64 2.36-9+deb12u1
2023-09-02 15:32:55 status unpacked libc-bin:amd64 2.36-9+deb12u1
2023-09-02 15:32:55 install libmount1:amd64 <none> 2.38.1-5+b1
2023-09-02 15:32:55 status half-installed libmount1:amd64 2.38.1-5+b1
2023-09-02 15:32:55 status unpacked libmount1:amd64 2.38.1-5+b1
2023-09-02 15:32:55 install libpam-runtime:all <none> 1.5.2-6
2023-09-02 15:32:55 status half-installed libpam-runtime:all 1.5.2-6
2023-09-02 15:32:55 status unpacked libpam-runtime:all 1.5.2-6
2023-09-02 15:32:55 install libunistring2:amd64 <none> 1.0-2
2023-09-02 15:32:55 status half-installed libunistring2:amd64 1.0-2
2023-09-02 15:32:55 status unpacked libunistring2:amd64 1.0-2
2023-09-02 15:32:55 upgrade mawk:amd64 1.3.4.20200120-3.1 1.3.4.20200120-3.1
2023-09-02 15:32:55 status half-configured mawk:amd64 1.3.4.20200120-3.1
2023-09-02 15:32:55 status unpacked mawk:amd64 1.3.4.20200120-3.1
2023-09-02 15:32:55 status half-installed mawk:amd64 1.3.4.20200120-3.1
2023-09-02 15:32:55 status unpacked mawk:amd64 1.3.4.20200120-3.1
2023-09-02 15:32:55 install zlib1g:amd64 <none> 1:1.2.13.dfsg-1
2023-09-02 15:32:55 status half-installed zlib1g:amd64 1:1.2.13.dfsg-1
2023-09-02 15:32:55 status unpacked zlib1g:amd64 1:1.2.13.dfsg-1
